username,source,chat_type,category_slug,category_label,language,rank,scraped_at
euvictoriamatosa,telegramchannels,channel,all,All Categories,es,1,2026-04-09T19:07:45.549987+00:00
telegramtipses,telegramchannels,channel,all,All Categories,es,2,2026-04-09T19:07:45.549995+00:00
peliculas,telegramchannels,channel,all,All Categories,es,3,2026-04-09T19:07:45.549998+00:00
peliculasgratis_latino_hd,telegramchannels,channel,all,All Categories,es,7,2026-04-09T19:07:45.550014+00:00
apktodo68,telegramchannels,channel,all,All Categories,es,8,2026-04-09T19:07:45.550017+00:00
pelissplay,telegramchannels,channel,all,All Categories,es,9,2026-04-09T19:07:45.550020+00:00
botnovedades,telegramchannels,channel,all,All Categories,es,10,2026-04-09T19:07:45.550022+00:00
ofertonesmexico,telegramchannels,channel,all,All Categories,es,11,2026-04-09T19:07:45.550025+00:00
chollometro,telegramchannels,channel,all,All Categories,es,12,2026-04-09T19:07:45.550028+00:00
zulia_sin_censura,telegramchannels,channel,all,All Categories,es,13,2026-04-09T19:07:45.550031+00:00
tuhogartextiles,telegramchannels,channel,all,All Categories,es,14,2026-04-09T19:07:45.550034+00:00
adrianaolivarez13,telegramchannels,channel,all,All Categories,es,15,2026-04-09T19:07:45.550037+00:00
patriadigital,telegramchannels,channel,all,All Categories,es,16,2026-04-09T19:07:45.550040+00:00
robertitafanc,telegramchannels,channel,all,All Categories,es,17,2026-04-09T19:07:45.550043+00:00
valeria_castanedacon,telegramchannels,channel,all,All Categories,es,18,2026-04-09T19:07:45.550046+00:00
rodriguez_lizbeth1,telegramchannels,channel,all,All Categories,es,19,2026-04-09T19:07:45.550049+00:00
sabrinasexy09,telegramchannels,channel,all,All Categories,es,20,2026-04-09T19:07:45.550052+00:00
jessicasodireal,telegramchannels,channel,all,All Categories,es,21,2026-04-09T19:07:45.550055+00:00
cintia_cossiod,telegramchannels,channel,all,All Categories,es,22,2026-04-09T19:07:45.550058+00:00
importadoracrisma,telegramchannels,channel,all,All Categories,es,23,2026-04-09T19:07:45.550061+00:00
adescargaronline,telegramchannels,channel,all,All Categories,es,24,2026-04-09T19:07:45.550064+00:00
